id,date,theater,company,title,genre,author,composer,notes
378,1781-07-17,Kth,French,Le Roi et le Fermier,Opéra comique,Sedaine,Monsigny,NA
379,1781-07-17,Kth,French,"La Comédie à l'impromptu, ou les Dupes",Comédie,Dorvigny,NA,NA
380,1781-07-18,Bth,Court,Olivie,Trauerspiel,Brandes,NA,NA
381,1781-07-18,Bth,Court,Wer wird sie kriegen,Lustspiel,Eckardt,NA,NA
382,1781-07-18,Kth,Preßburg,Der Jahrmarkt von Venedig,Singspiel,Boccherini,Salieri,NA
383,1781-07-19,Bth,Court,Zemire und Azor,Opéra comique,Marmontel,Grétry,In German
384,1781-07-20,NA,NA,Theaters closed,NA,NA,NA,NA
385,1781-07-21,Bth,Court,Die dürftige Familie,Schauspiel,Mercier,NA,NA
388,1781-07-21,Bth,Court,Der Teufel steckt in ihm,Lustspiel,Colman,NA,NA
389,1781-07-21,Kth,French,La Belle Arsène,Comédie mêlée d'ariettes,Favart,Monsigny,NA
386,1781-07-22,Bth,Court,Der Kühehirt,Lustspiel,Weidmann,NA,NA
387,1781-07-22,Kth,Preßburg,Die zwey Gräfinnen,Singspiel,Petrosellini,Paisiello,"German version of Le due contesse, which had been performed in Vienna in 1776 and 1777."
390,1781-07-22,Bth,Court,Die dürftige Familie,Schauspiel,Mercier,NA,NA
391,1781-07-23,Bth,Court,Der Todte ein Freyer,Lustspiel,Sedaine,NA,NA
392,1781-07-23,Bth,Court,Die abgeredte Zauberey,Singspiel,Marmontel,Grétry,NA
393,1781-07-23,Kth,French,Zémire et Azor,Opéra comique,Marmontel,Grétry,NA
394,1781-07-24,Bth,Court,Der Westindier,Lustspiel,Cumberland,NA,NA
395,1781-07-25,Bth,Court,Der Barbier von Sevilien,Lustspiel,Beaumarchais,NA,NA
396,1781-07-25,Kth,French,Monsieur de St. Charles,Comédie,Gernevalde,NA,NA
397,1781-07-25,Kth,French,L'Ami de la maison,Comédie mêlée d'ariettes,Marmontel,Grétry,NA
398,1781-07-26,Bth,Court,Die Pilgrime von Mekka,Singspiel,Dancourt,Gluck,NA
399,1781-07-26,Kth,French,Le Maréchal ferrant,Opéra comique,Quétant,Philidor,NA
400,1781-07-26,Kth,French,L'Ami de la maison,Comédie mêlée d'ariettes,Marmontel,Grétry,NA
401,1781-07-27,NA,NA,Theaters closed,NA,NA,NA,NA
402,1781-07-28,Bth,Court,Elfride,Trauerspiel,Mason,NA,NA
403,1781-07-28,Bth,Court,Die große Batterie,Lustspiel,Ayrenhoff,NA,NA
404,1781-07-28,Kth,French,La Rosière de Salency,Opéra comique,Favart,Philidor,NA
405,1781-07-29,Bth,Court,Betrug für Betrug,Lustspiel,Schletter,NA,NA
406,1781-07-29,Kth,French,La Belle Arsène,Comédie mêlée d'ariettes,Favart,Monsigny,NA
407,1781-07-30,Bth,Court,Die gegenseitige Probe,Lustspiel,Legrand,NA,NA
408,1781-07-30,Bth,Court,Der Hausfreund,Singspiel,Marmontel,Grétry,NA
409,1781-07-30,Kth,French,L'Amitié à l'epreuve,Comédie mêlée d'ariettes,Favart,Grétry,NA
410,1781-07-30,Kth,French,Les Folies amoureuses,Comédie,Regnard,NA,NA
411,1781-07-31,NA,Court,Erwine von Steinheim,Trauerspiel,Blumauer,NA,NA
412,1781-08-01,Bth,Court,Bekir und Gulroui,Lustspiel,Cardonne,NA,Final performance
413,1781-08-01,Bth,Court,Der Deserteur,Drame mêlé de musique,Sedaine,Monsigny,"In German, as a singspiel"
414,1781-08-01,Kth,French,La Colonie,Opéra comique,unknown,Framery,NA
415,1781-08-01,Kth,French,La Pupille,Comédie,Fagan,NA,NA
416,1781-08-02,Bth,Court,Die dürftige Familie,Schauspiel,Mercier,NA,NA
417,1781-08-02,Kth,French,La Servante maitresse,Opéra comique,Favart,unknown,NA
418,1781-08-02,Kth,French,Le Mazet,Opéra comique,Anseaume,Duni,NA
419,1781-08-03,NA,NA,Theaters closed,NA,NA,NA,NA
420,1781-08-04,Bth,Court,Der dankbare Sohn,Lustspiel,Engel,NA,NA
421,1781-08-04,Bth,Court,Die eingebildeten Philosophen,Singspiel,Bertati,Paisiello,NA
422,1781-08-04,Kth,French,Ninette à la cour,Comédie mêlée d'ariettes,Favart,Ciampi,NA
423,1781-08-04,Kth,French,Les Trois Frères rivaux,Comédie,La Font,NA,NA
424,1781-08-05,Bth,Court,Das Landmädchen,Lustspiel,Wycherley,NA,NA
425,1781-08-05,Kth,French,La Bonne Fille,Opéra comique,unknown,unknown,NA
426,1781-08-06,Bth,Court,Wahrheit ist gut Ding,Lustspiel,Goldoni,NA,NA
427,1781-08-06,Kth,French,Democrite amoureux,Comédie,Regnard,NA,NA
428,1781-08-06,Kth,French,Le Tableau parlant,Opéra comique,Anseaume,Grétry,NA
429,1781-08-07,Bth,Court,Die Uebereilung,Lustspiel,Fagan,NA,NA
430,1781-08-07,Bth,Court,Die Sklavinn,Singspiel,unknown,Piccinni,Performed only twice
431,1781-08-08,Bth,Court,Zu gut ist nicht gut,Lustspiel,Goldsmith,NA,Final performance
432,1781-08-08,Kth,French,Le Tartuffe,Comédie,Molière,NA,NA
433,1781-08-08,Kth,French,La Bonne Fille,Opéra comique,unknown,unknown,NA
434,1781-08-09,Bth,Court,Die Trauer,Lustspiel,Hauteroche,NA,NA
435,1781-08-09,Bth,Court,Die Wâschermädchen,Singspiel,Bock,Zanetti,Final performance
436,1781-08-09,Kth,French,La Fausse Suivante,Comédie,Marivaux,NA,NA
437,1781-08-09,Kth,French,Silvain,Opéra comique,Marmontel,Grétry,NA
438,1781-08-10,NA,NA,Theaters closed,NA,NA,NA,NA
439,1781-08-11,Bth,Court,Gianetta Montaldi,Trauerspiel,Schink,NA,NA
440,1781-08-11,Kth,French,Le Marchand de Smyrne,Opéra comique,Chamfort,Just,"""Le Marchand de Smirne / O. 1. a."""
441,1781-08-11,Kth,French,La Fausse Magie,Comédie mêlée d'ariettes,Marmontel,Grétry,NA
442,1781-08-12,Bth,Court,Gianetta Montaldi,Trauerspiel,Schink,NA,NA
443,1781-08-12,Kth,French,La Servante maitresse,Opéra comique,Favart,unknown,NA
444,1781-08-12,Kth,French,La Sérénade,Opéra comique,unknown,unknown,NA
445,1781-08-12,Kth,French,"La Comédie à l'impromptu, ou les Dupes",Comédie,Dorvigny,NA,"""Les Dupes. O. 1. a.""Uncertain whether this work, listed as an opera, is the same as La Comédie à l'impromptu, ou les Dupes performed by the French company in July."
446,1781-08-13,Bth,Court,Der Bettler,Lustspiel,Goldoni,NA,NA
447,1781-08-13,Bth,Court,Was erhält die Männer treu?,Singspiel,Zehnmark,Ruprecht,NA
448,1781-08-14,Bth,Court,Die heimliche Heyrath,Lustspiel,Colman,NA,NA
449,1781-08-14,Kth,French,Le Procureur arbitre,Comédie,Poisson,NA,NA
