id,date_id,theater,company,title,genre,author,composer,notes
93,2/20/1781,Bth,Court,Der Jurist und der Bauer,Lustspiel,Rautenstrauch,NA,NA
94,2/20/1781,Kth,Kinder,Ariadne auf Naxos,Duodrama,Brandes,Benda,NA
95,2/20/1781,Bth,Court,Medea,Melodrama,Gotter,Benda,NA
96,2/20/1781,Kth,Kinder,Die Horazier,Ballet,Vogt,unknown,NA
97,2/21/1781,Bth,Court,"Soliman der Zweyte, oder Die drey Sultaninnen",Lustspiel,Favart,NA,NA
98,2/21/1781,Bth,Court,Der Sklavenhändler von Smyrna,Singspiel,Chamfort,unknown,Second and final performance
99,2/21/1781,Kth,French,Le Mercure galant ou la Comédie sans titre,Comédie,Boursault,NA,NA
100,2/21/1781,Kth,French,La Double Frayeur,Comédie,unknown,NA,NA
101,2/21/1781,Kth,French,No title,Ballet,unknown,unknown,NA
102,2/22/1781,Bth,Court,Das Winterquartier in Amerika,Lustspiel,Babo,NA,"Zinzendorf attended this performance and that of Der eifersüchtige Liebhaber. It was his first attendance of a public theatrical performances since his return from Trieste.""♃. 22. Fevrier. [...] Dela au Spectacle national. D[as] WinterQuartier in America. La Jaquet, jolie actrice. Der eifersüchtige Liebhaber opera comique françois traduit. belle musique. Adamberger chanta bien. La Lang qui est grosse point parfaitement, Vischer bien. L'air de Alonso Sans jalousie point d'amour. J'etois avec M:e de Thun dans la loge du C:te Rosenberg."""
103,2/22/1781,Bth,Court,Der eifersüchtige Liebhaber,Singspiel,Hales,Grétry,NA
NA,NA,NA,NA,NA,NA,Stephanie d. J.,NA,NA
104,2/22/1781,Kth,Kinder,Die wahre Liebe,Lustspiel,Schiebeler,NA,NA
105,2/22/1781,Kth,Kinder,Die Näscherinn,Singspiel,Weiße,Kriner,NA
106,2/22/1781,Kth,Kinder,Adelheid von Ponthieu,Ballet,Noverre,Starzer,"""Adelheid von Ponthieu."""
NA,NA,NA,NA,NA,NA,Vogt,NA,NA
107,2/23/1781,Bth,NA,"Concert, Tebaldo Monzani",NA,NA,NA,This was Monzani's only known appearance in Vienna
108,2/24/1781,Bth,Court,Das Loch in der Thüre,Lustspiel,Stephanie d. J.,NA,"""Hr. Autors Einnahme.""This was the third performance, and the proceeds went to Stephanie d. J.Zinendorf attempted to go to this performance, but couldn't find a seat."
109,2/24/1781,Kth,Kinder,"Hanns bleibt Hanns, oder der Bauer, ein Fürst",Lustspiel,Schink,NA,NA
110,2/24/1781,Kth,Kinder,Die wahre Liebe,Lustspiel,Schiebeler,NA,NA
111,2/24/1781,Kth,Kinder,Die Horazier,Ballet,Vogt,unknown,NA
112,2/25/1781,Bth,Court,Die Rechnung ohne den Wirth,Lustspiel,Schletter,NA,NA
113,2/25/1781,Bth,Court,"Die pücefarbnen Schuhe, oder Die schöne Schusterin",Singspiel,Stephanie d. J.,Umlauf,NA
114,2/25/1781,Kth,French,Don Japhet d'Armenie,Comédie,Scarron,NA,NA
115,2/25/1781,Kth,French,No title,Ballet,unknown,unknown,NA
116,2/26/1781,Bth,Court,Wahrheit ist gut Ding,Lustspiel,Goldoni,NA,NA
NA,NA,NA,NA,NA,NA,Schletter,NA,NA
117,2/26/1781,Kth,Kinder,"Hanns bleibt Hanns, oder der Bauer, ein Fürst",Lustspiel,Schink,NA,NA
118,2/26/1781,Kth,Kinder,Die Näscherinn,Singspiel,Weiße,Kriner,NA
119,2/26/1781,Kth,Kinder,Die Horazier,Ballet,Vogt,unknown,NA
120,2/27/1781,Bth,Court,Der Schneider und sein Sohn,Lustspiel,Fuß,NA,NA
121,2/27/1781,Bth,Court,Der Faßbinder,Singspiel,Poinsinet,Philidor,NA
122,2/27/1781,Kth,French,L'Amoreux de quinze ans,Comédie mêlée d'ariettes,Laujon,Martini,NA
123,2/27/1781,Kth,French,Rose et Colas,Opéra comique,Sedaine,Monsigny,NA
124,2/27/1781,Kth,French,No title,Ballet,unknown,unknown,NA
